loseScore,drawScore,winScore,simulationTimes
-20,1,2,118500
-20,1,3,34500
-20,1,4,16100
-20,1,5,10000
-20,1,6,6800
-20,1,7,5100
-20,1,8,3700
-20,1,9,3300
-20,1,10,2800
-20,1,11,2500
-20,1,12,2300
-20,1,13,1900
-20,1,14,1800
-20,1,15,1500
-20,1,16,1400
-20,1,17,1400
-20,1,18,1300
-20,1,19,1200
-20,1,20,1200
-20,2,3,140800
-20,2,5,17900
-20,2,7,7300
-20,2,9,4500
-20,2,11,2900
-20,2,13,2200
-20,2,15,1900
-20,2,17,1500
-20,2,19,1500
-20,3,4,157400
-20,3,5,38800
-20,3,6,18700
-20,3,7,12000
-20,3,8,8000
-20,3,9,5700
-20,3,10,4700
-20,3,11,3900
-20,3,12,3100
-20,3,13,2900
-20,3,14,2400
-20,3,15,2100
-20,3,16,1900
-20,3,17,1800
-20,3,18,1600
-20,3,19,1600
-20,3,20,1400
-20,4,5,153900
-20,4,7,20400
-20,4,9,8400
-20,4,11,4700
-20,4,13,3400
-20,4,15,2600
-20,4,17,2000
-20,4,19,1900
-20,5,6,181800
-20,5,7,44600
-20,5,8,22500
-20,5,9,12800
-20,5,11,6500
-20,5,12,5200
-20,5,13,4200
-20,5,14,3700
-20,5,16,2600
-20,5,17,2500
-20,5,18,2100
-20,5,19,1900
-20,6,7,179300
-20,6,9,24200
-20,6,11,10300
-20,6,13,5400
-20,6,15,3500
-20,6,17,3000
-20,6,19,2200
-20,7,8,198900
-20,7,9,58300
-20,7,10,25000
-20,7,11,15100
-20,7,12,10200
-20,7,13,7100
-20,7,14,6100
-20,7,15,5000
-20,7,16,4000
-20,7,17,3600
-20,7,18,3100
-20,7,19,2700
-20,7,20,2400
-20,8,9,213000
-20,8,11,26600
-20,8,13,10600
-20,8,15,6400
-20,8,17,4100
-20,8,19,3200
-20,9,10,224600
-20,9,11,64200
-20,9,12,29100
-20,9,13,17700
-20,9,14,11700
-20,9,15,8700
-20,9,16,6600
-20,9,17,5100
-20,9,18,4200
-20,9,19,3900
-20,9,20,3200
-20,10,11,252500
-20,10,13,30100
-20,10,17,7300
-20,10,19,5400
-20,11,12,266000
-20,11,13,74500
-20,11,14,30700
-20,11,15,19500
-20,11,16,13100
-20,11,17,9700
-20,11,18,8200
-20,11,19,6700
-20,11,20,5500
-20,12,13,300300
-20,12,15,34500
-20,12,17,13800
-20,12,19,7600
-20,13,14,303400
-20,13,15,83500
-20,13,16,37900
-20,13,17,21200
-20,13,18,14700
-20,13,19,10900
-20,13,20,8400
-20,14,15,333100
-20,14,17,37900
-20,14,19,16700
-20,15,16,341700
-20,15,17,82600
-20,15,18,41400
-20,15,19,24200
-20,16,17,342800
-20,16,19,42700
-20,17,18,398800
-20,17,19,111800
-20,17,20,45600
-20,18,19,420200
-20,19,20,416900
-19,1,2,113800
-19,1,3,32500
-19,1,4,14800
-19,1,5,9000
-19,1,6,5900
-19,1,7,4600
-19,1,8,3600
-19,1,9,3100
-19,1,10,2600
-19,1,11,2200
-19,1,12,2000
-19,1,13,1800
-19,1,14,1600
-19,1,15,1600
-19,1,16,1300
-19,1,17,1300
-19,1,18,1200
-19,1,19,1100
-19,1,20,1200
-19,2,3,132000
-19,2,4,35200
-19,2,5,16700
-19,2,6,9600
-19,2,7,6700
-19,2,8,4900
-19,2,9,4100
-19,2,10,3100
-19,2,11,3000
-19,2,12,2500
-19,2,13,2100
-19,2,14,1900
-19,2,15,1800
-19,2,16,1600
-19,2,17,1500
-19,2,18,1400
-19,2,19,1300
-19,2,20,1300
-19,3,4,141800
-19,3,5,39800
-19,3,6,16100
-19,3,7,10600
-19,3,8,7300
-19,3,9,5400
-19,3,10,4200
-19,3,11,3800
-19,3,12,3100
-19,3,13,2400
-19,3,14,2400
-19,3,15,2000
-19,3,16,1900
-19,3,17,1700
-19,3,18,1500
-19,3,19,1400
-19,3,20,1600
-19,4,5,171400
-19,4,6,41400
-19,4,7,18800
-19,4,8,11300
-19,4,9,7700
-19,4,10,6200
-19,4,11,4400
-19,4,12,3700
-19,4,13,3000
-19,4,14,2600
-19,4,15,2300
-19,4,16,2100
-19,4,17,1900
-19,4,18,1800
-19,4,19,1600
-19,4,20,1600
-19,5,6,171300
-19,5,7,42600
-19,5,8,20800
-19,5,9,13300
-19,5,10,8000
-19,5,11,6800
-19,5,12,5300
-19,5,13,4000
-19,5,14,3300
-19,5,15,2900
-19,5,16,3000
-19,5,17,2300
-19,5,18,1900
-19,5,19,1900
-19,5,20,1900
-19,6,7,169100
-19,6,8,47100
-19,6,9,21600
-19,6,10,13600
-19,6,11,8300
-19,6,12,6900
-19,6,13,5100
-19,6,14,4500
-19,6,15,3600
-19,6,16,3100
-19,6,17,2700
-19,6,18,2400
-19,6,19,2100
-19,6,20,2200
-19,7,8,196300
